,experience_level,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,SE,principal data scientist,80000,EUR,85847,ES,remote,ES,L
3,SE,data scientist,175000,USD,175000,CA,remote,CA,M
4,SE,data scientist,120000,USD,120000,CA,remote,CA,M
7,SE,data scientist,219000,USD,219000,CA,onsite,CA,M
8,SE,data scientist,141000,USD,141000,CA,onsite,CA,M
9,SE,data scientist,147100,USD,147100,US,onsite,US,M
10,SE,data scientist,90700,USD,90700,US,onsite,US,M
11,SE,data analyst,130000,USD,130000,US,remote,US,M
12,SE,data analyst,100000,USD,100000,US,remote,US,M
17,SE,data scientist,170000,USD,170000,US,onsite,US,M
18,SE,data scientist,150000,USD,150000,US,onsite,US,M
19,MI,data analyst,150000,USD,150000,US,remote,US,M
20,MI,data analyst,110000,USD,110000,US,remote,US,M
31,SE,data engineer,253200,USD,253200,US,onsite,US,M
32,SE,data engineer,90700,USD,90700,US,onsite,US,M
35,MI,data engineer,162500,USD,162500,US,onsite,US,M
36,MI,data engineer,130000,USD,130000,US,onsite,US,M
37,MI,data analyst,105380,USD,105380,US,onsite,US,M
38,MI,data analyst,64500,USD,64500,US,onsite,US,M
40,EN,compliance data analyst,30000,USD,30000,NG,remote,NG,L
44,SE,data engineer,270703,USD,270703,US,onsite,US,M
45,SE,data engineer,221484,USD,221484,US,onsite,US,M
46,SE,data scientist,212750,USD,212750,US,remote,US,M
47,SE,data scientist,185000,USD,185000,US,remote,US,M
48,SE,data scientist,262000,USD,262000,US,remote,US,M
49,SE,data scientist,245000,USD,245000,US,remote,US,M
50,SE,data scientist,275300,USD,275300,US,remote,US,M
51,SE,data scientist,183500,USD,183500,US,remote,US,M
52,SE,data scientist,218500,USD,218500,US,remote,US,M
53,SE,data scientist,199098,USD,199098,US,remote,US,M
54,SE,data engineer,203300,USD,203300,US,remote,US,M
55,SE,data engineer,123600,USD,123600,US,remote,US,M
58,EX,data scientist,258750,USD,258750,US,onsite,US,M
59,EX,data scientist,185000,USD,185000,US,onsite,US,M
60,SE,data engineer,231500,USD,231500,US,remote,US,M
61,SE,data engineer,166000,USD,166000,US,remote,US,M
62,SE,data scientist,172500,USD,172500,US,remote,US,M
63,SE,data scientist,110500,USD,110500,US,remote,US,M
64,SE,data engineer,238000,USD,238000,US,onsite,US,M
65,SE,data engineer,176000,USD,176000,US,onsite,US,M
66,SE,data engineer,237000,USD,237000,US,remote,US,M
67,SE,data engineer,201450,USD,201450,US,remote,US,M
70,SE,data engineer,115000,USD,115000,US,onsite,US,M
71,SE,data engineer,81500,USD,81500,US,onsite,US,M
72,SE,data scientist,237000,USD,237000,US,remote,US,M
73,SE,data scientist,201450,USD,201450,US,remote,US,M
78,SE,data engineer,193500,USD,193500,US,remote,US,M
79,SE,data engineer,139000,USD,139000,US,remote,US,M
80,MI,data scientist,510000,HKD,65062,HK,onsite,HK,L
87,SE,data engineer,225000,USD,225000,US,remote,US,M
